,Pull Date,App ID,HUC-12,Demand,Allocation,Right Type,Active?,File Date,Shortage,Allocation Constrained via Right,Allocation Constrained via Shortage,Allocation Constrained via Public Health
0,10/1/1977,S012550,180201260301,0.0,0.0,Riparian,False,,0.0,False,False,0
1,10/1/1977,S003706,180201560406,9.903225806451612e-09,9.903225806451612e-09,Riparian,True,,0.0,False,False,0
2,10/1/1977,S009092,180201250703,0.0,0.0,Riparian,False,,0.0,False,False,0
3,10/1/1977,S011354,180201160303,4.129032258064516e-08,4.129032258064516e-08,Riparian,True,,0.0,False,False,0
4,10/1/1977,S010248,180201580403,1.932258064516129e-08,1.932258064516129e-08,Riparian,True,,0.0,False,False,0
5,10/1/1977,S016496,180201620302,0.0,0.0,Riparian,False,,0.0,False,False,0
6,10/1/1977,S008006,180201580202,9.903225806451612e-08,9.903225806451612e-08,Riparian,True,,0.0,False,False,0
7,10/1/1977,S010786,180200030502,1.9806451612903225e-07,1.9806451612903225e-07,Riparian,True,,0.0,False,False,0
8,10/1/1977,S013182,180201220804,0.0,0.0,Riparian,False,,0.0,False,False,0
9,10/1/1977,S010785,180200030504,2.970967741935484e-07,2.970967741935484e-07,Riparian,True,,0.0,False,False,0
10,10/1/1977,S014993,180201250702,3.967741935483871e-07,3.967741935483871e-07,Riparian,True,,0.0,False,False,0
11,10/1/1977,S005806,180201530202,0.0,0.0,Riparian,False,,0.0,False,False,0
12,10/1/1977,S010895,180201260202,6.935483870967742e-07,6.935483870967742e-07,Riparian,True,,0.0,False,False,0
13,10/1/1977,S010783,180200030502,4.935483870967741e-07,4.935483870967741e-07,Riparian,True,,0.0,False,False,0
14,10/1/1977,S010784,180200030502,4.935483870967741e-07,4.935483870967741e-07,Riparian,True,,0.0,False,False,0
15,10/1/1977,S010814,180200030502,4.935483870967741e-07,4.935483870967741e-07,Riparian,True,,0.0,False,False,0
16,10/1/1977,S013535,180201530301,4.935483870967741e-07,4.935483870967741e-07,Riparian,True,,0.0,False,False,0
17,10/1/1977,S004510,180201150403,9.903225806451613e-07,9.903225806451613e-07,Riparian,True,,0.0,False,False,0
18,10/1/1977,S013729,180201260202,1.4838709677419356e-06,1.4838709677419356e-06,Riparian,True,,0.0,False,False,0
19,10/1/1977,S020723,180201041203,0.0,0.0,Riparian,False,,0.0,False,False,0
20,10/1/1977,S002265,180200030502,9.903225806451613e-07,9.903225806451613e-07,Riparian,True,,0.0,False,False,0
21,10/1/1977,S010778,180200030502,9.903225806451613e-07,9.903225806451613e-07,Riparian,True,,0.0,False,False,0
22,10/1/1977,S018920,180200021902,0.0,0.0,Riparian,False,,0.0,False,False,0
23,10/1/1977,S018941,180200021902,0.0,0.0,Riparian,False,,0.0,False,False,0
24,10/1/1977,S018947,180200021902,0.0,0.0,Riparian,False,,0.0,False,False,0
25,10/1/1977,S018950,180200021902,0.0,0.0,Riparian,False,,0.0,False,False,0
26,10/1/1977,S010782,180200030502,1.4838709677419356e-06,1.4838709677419356e-06,Riparian,True,,0.0,False,False,0
27,10/1/1977,S013129,180201230405,0.0,0.0,Riparian,False,,0.0,False,False,0
28,10/1/1977,S014531,180201530101,2.9709677419354837e-06,2.9709677419354837e-06,Riparian,True,,0.0,False,False,0
29,10/1/1977,S013112,180201220804,1.8258064516129035e-06,1.8258064516129035e-06,Riparian,True,,0.0,False,False,0
30,10/1/1977,S010779,180200030502,1.9806451612903226e-06,1.9806451612903226e-06,Riparian,True,,0.0,False,False,0
31,10/1/1977,S010780,180200030502,1.9806451612903226e-06,1.9806451612903226e-06,Riparian,True,,0.0,False,False,0
32,10/1/1977,S010781,180200030502,1.9806451612903226e-06,1.9806451612903226e-06,Riparian,True,,0.0,False,False,0
33,10/1/1977,S012970,180201280402,0.0,0.0,Riparian,False,,0.0,False,False,0
34,10/1/1977,S000649,180201510202,2.109677419354839e-06,2.109677419354839e-06,Riparian,True,,0.0,False,False,0
35,10/1/1977,S022737,180200021206,0.0,0.0,Riparian,False,,0.0,False,False,0
36,10/1/1977,S022150,180201250602,0.0,0.0,Riparian,False,,0.0,False,False,0
37,10/1/1977,S014136,180201230405,0.0,0.0,Riparian,False,,0.0,False,False,0
38,10/1/1977,S002266,180200030502,2.9709677419354837e-06,2.9709677419354837e-06,Riparian,True,,0.0,False,False,0
39,10/1/1977,S010815,180200030303,2.9709677419354837e-06,2.9709677419354837e-06,Riparian,True,,0.0,False,False,0
40,10/1/1977,S010816,180200030303,2.9709677419354837e-06,2.9709677419354837e-06,Riparian,True,,0.0,False,False,0
41,10/1/1977,S013498,180201620302,2.9709677419354837e-06,2.9709677419354837e-06,Riparian,True,,0.0,False,False,0
42,10/1/1977,S018935,180200021902,0.0,0.0,Riparian,False,,0.0,False,False,0
43,10/1/1977,S014596,180201110101,7.424741935483871e-06,0.0,Riparian,True,,7.424741935483871e-06,True,True,0
44,10/1/1977,S012748,180201250101,0.0,0.0,Riparian,False,,0.0,False,False,0
45,10/1/1977,S013352,180201230403,5.9496774193548385e-06,5.9496774193548385e-06,Riparian,True,,0.0,False,False,0
46,10/1/1977,S011555,180201540104,3.959838709677419e-06,3.959838709677419e-06,Riparian,True,,0.0,False,False,0
47,10/1/1977,S013121,180201210403,7.404935483870968e-06,7.404935483870968e-06,Riparian,True,,0.0,False,False,0
48,10/1/1977,S014204,180201290304,5.444806451612904e-06,0.0,Riparian,True,,5.444806451612904e-06,True,True,0
49,10/1/1977,S010777,180200030504,0.0,0.0,Riparian,False,,0.0,False,False,0
50,10/1/1977,S012903,180201250403,9.903225806451613e-07,9.903225806451613e-07,Riparian,True,,0.0,False,False,0
51,10/1/1977,S022144,180201250602,9.899645161290324e-06,9.899645161290324e-06,Riparian,True,,0.0,False,False,0
